name,release_date,rating,metacritic,playtime,genres
Myst: Masterpiece Edition,2011-02-02,4.19,,1,"Casual, Adventure"
Chantelise: A Tale of Two Sisters,2011-07-28,3.4,62.0,1,"Action, RPG"
Mario Kart 7,2011-12-04,4.1,85.0,30,Racing
Black Mirror II: Reigning Evil,2011-02-08,3.67,71.0,10,Adventure
King’s Bounty: Legions,2011-08-09,2.35,,1,"Adventure, RPG, Strategy, Indie, Massively Multiplayer"
Data Jammers: FastForward,2011-10-24,2.29,,1,"Indie, Action"
Black Mirror III: Final Fear,2011-02-04,3.47,75.0,9,Adventure
Sideway New York,2011-11-15,2.7,71.0,1,"Arcade, Indie, Adventure"
Magic: The Gathering - Duels of the Planeswalkers 2012,2011-06-14,3.39,77.0,9,"Strategy, Adventure"
Ignite,2011-10-28,1.71,59.0,1,"Racing, Action"
Metal Gear Solid: Peace Walker HD Edition,2011-11-08,4.1,,0,"Adventure, Action"
Mortal Kombat Arcade Kollection,2011-08-30,3.66,60.0,1,"Arcade, Fighting"
Fruit Ninja Kinect,2011-06-06,3.48,,2,"Family, Action"
Insane 2,2011-09-30,3.04,,1,Racing
de Blob 2,2011-02-22,3.37,74.0,2,"Adventure, Action, Arcade, Indie, Platformer"
MX vs. ATV Alive,2011-05-10,2.49,,0,"Racing, Arcade, Sports"
RACE Injection,2011-11-18,3.2,72.0,1,Racing
Explodemon,2011-02-08,2.6,,1,"Casual, Indie, Adventure, Action"
SENGOKU Anthology,2011-09-12,2.14,70.0,2,"Strategy, RPG, Simulation"
Hard Corps: Uprising,2011-02-16,3.62,,1,"Platformer, Shooter, Arcade, Action"
Death Rally,2011-03-31,3.02,,2,"Racing, Arcade, Action"
Muffin Knight,2011-09-01,2.23,,1,"Adventure, Action, Casual, Arcade, Indie"
Garshasp: The Monster Slayer,2011-05-09,2.42,49.0,1,"Indie, Action"
King Arthur: Fallen Champions,2011-09-16,2.78,54.0,1,"Strategy, RPG"
Tobe's Vertical Adventure,2011-07-18,2.25,75.0,1,"Indie, Adventure, Action"
NBA 2K12,2011-10-04,3.49,84.0,8,Sports
Disney Universe,2011-09-26,3.32,,3,"Adventure, Action"
Stellar Impact,2011-08-05,2.25,74.0,3,"Strategy, Indie, Action"
Touch My Katamari,2011-12-17,3.58,69.0,3,"Action, Puzzle"
Glowfish,2011-07-28,2.62,,1,"Casual, Indie, Adventure"
Dynasty Warriors Next,2011-12-17,2.38,,0,Action
American Conquest: Fight Back,2011-08-26,3.62,66.0,1,Strategy
Pickers,2011-12-13,2.44,,2,"Casual, Strategy, Adventure, Simulation"
Choplifter HD,2011-12-21,2.67,65.0,1,"Shooter, Adventure, Action"
Crimson Alliance,2011-08-23,2.54,,0,"Action, RPG"
Air Conflicts: Secret Wars,2011-07-01,2.5,65.0,1,"Shooter, Action, Simulation"
Halo: Combat Evolved Anniversary,2011-11-15,4.01,80.0,13,Shooter
Midnight Mysteries 3: Devil on the Mississippi,2011-05-26,3.57,,4,"Casual, Adventure, Puzzle"
Luxor 2 HD,2011-06-30,3.25,,2,"Casual, Arcade, Action"
Lucid,2011-07-19,3.33,,1,"Casual, Indie"
Fate of the World,2011-02-28,2.47,70.0,1,"Casual, Strategy, Indie, Simulation"
WAY OF THE SAMURAI 4,2011-03-03,3.86,72.0,5,"Adventure, Action"
Dead Horde,2011-06-27,2.67,,1,"Indie, Action"
CastleMiner Z,2011-11-09,2.19,,2,"Indie, Adventure, Action"
A Game of Thrones - Genesis,2011-09-28,2.32,,1,Strategy
Demolition Inc.,2011-09-19,3.24,,1,"Action, Casual, Strategy, Simulation, Indie"
Earth Defense Force: Insect Armageddon,2011-07-05,3.2,69.0,3,"Shooter, Action"
Nyan Cat: Lost In Space,2011-05-12,3.15,,4,"Action, Puzzle, Casual, Arcade, Family"
Auditorium,2011-01-04,3.39,,1,"Casual, Indie, Puzzle"
Luxor: Amun Rising HD,2011-03-24,3.29,,1,"Casual, Arcade, Action"
SATAZIUS,2011-07-16,2.2,,2,"Indie, Action"
Pirates of Black Cove,2011-08-02,2.7,56.0,1,Strategy
Dance Central 2,2011-10-21,3.67,,6,Simulation
CreaVures,2011-02-23,1.88,55.0,1,Indie
Major Mayhem,2011-10-21,3.23,,2,"Adventure, Action, Casual, Simulation, Indie"
The Great Jitters: Pudding Panic,2011-06-07,1.89,,1,"Action, Puzzle, Casual, Strategy, Indie"
3079,2011-10-23,1.88,,3,"Shooter, Indie, Action, RPG"
ilomilo,2011-01-05,3.48,,1,Platformer
Airline Tycoon 2,2011-10-04,1.4,57.0,1,"Strategy, Simulation"
Hitogata Happa,2011-09-27,3.13,,1,"Indie, Action"
GundeadliGne,2011-09-27,3.0,,1,"Indie, Action"
Gundemonium Recollection,2011-09-27,3.2,,1,"Indie, Action"
WWE '12,2011-11-22,3.63,,0,"Arcade, Fighting"
