appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
47880,Battlefield: Bad Company 2 Vietnam,DICE,Electronic Arts,,220,4,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
1068640,Village Feud,Veelhoek Studios,Veelhoek Studios,,249,94,0,"50,000 .. 100,000",308,0,308,0,399,399,0,1
457960,Holopoint,"Alzan Studios, LLC","Alzan Studios, LLC",,630,74,0,"50,000 .. 100,000",0,0,0,0,1499,1499,0,0
1636910,Slikoban,Heimo Game Studio,Heimo Game Studio,,19,1,0,"50,000 .. 100,000",0,0,0,0,199,199,0,0
698540,Dungeon Warfare 2,Valsar,Valsar,,874,96,0,"50,000 .. 100,000",742,0,742,0,1499,1499,0,16
280520,Crea,Siege Games,Siege Games,,1056,321,0,"50,000 .. 100,000",0,0,0,0,1499,1499,0,1
1543080,Cute Honey 3,Lovely Games,Lovely Games,,460,245,0,"50,000 .. 100,000",185,0,273,0,199,199,0,0
1005340,Myths and Legends - Card Game,Salo,Salo,,325,215,0,"50,000 .. 100,000",0,0,0,0,0,0,0,5
356260,Stalingrad,DTF games,Fulqrum Publishing,,353,45,0,"50,000 .. 100,000",64,0,93,0,499,499,0,2
477870,Yomawari: Night Alone,"Nippon Ichi Software, Inc.","NIS America, Inc.",,1528,426,0,"50,000 .. 100,000",53,0,53,0,1999,1999,0,4
990050,Death end re;Quest,"Idea Factory, Compile Heart",Idea Factory International,,963,275,0,"50,000 .. 100,000",1,0,1,0,2999,2999,0,4
1736980,BounceShot,"Cottage Street Interactive, Zackavelli",Cottage Street Interactive,,21,2,0,"50,000 .. 100,000",0,0,0,0,499,499,0,1
441790,Fragmented,Above and Beyond Technologies,Above and Beyond Technologies,,838,1104,0,"50,000 .. 100,000",0,0,0,0,999,999,0,1
1578390,My Garage,Viking Game Studio,Viking Game Studio,,1630,147,0,"50,000 .. 100,000",0,0,0,0,1999,1999,0,176
655160,welcome to heaven,vextro,vextro,,387,135,0,"50,000 .. 100,000",0,0,0,0,0,0,0,1
1063490,Still There,GhostShark,Iceberg Interactive,,1005,146,0,"50,000 .. 100,000",158,0,243,0,374,1499,75,4
1829980,Café Stella and the Reaper's Butterflies,YUZUSOFT,"NekoNyan Ltd., HIKARI FIELD",,3112,59,0,"50,000 .. 100,000",0,0,0,0,3499,3499,0,110
513980,Oh No! Bugs!,Doomster Entertainment,Doomster Entertainment,,96,24,0,"50,000 .. 100,000",0,0,0,0,199,199,0,1
273770,Game Tycoon 1.5,Sunlight Games,Sunlight Games,,100,563,0,"50,000 .. 100,000",278,0,218,0,99,99,0,0
1463730,Arid,Sad Viscacha Studio,Breda University of Applied Sciences,,1467,218,0,"50,000 .. 100,000",0,0,0,0,0,0,0,6
1948930,Ambitious,Puhu,Puhu,,3,8,0,"50,000 .. 100,000",0,0,0,0,299,299,0,0
582920,From Shadows,Revolt and Rebel,Klabater,,32,19,0,"50,000 .. 100,000",0,0,0,0,199,199,0,1
1920320,Parasite,StarInfidel,StarInfidel,,22,3,0,"50,000 .. 100,000",0,0,0,0,899,899,0,2
849100,Alaskan Road Truckers,Road Studio S.A.,"Green Man Gaming Publishing, Movie Games S.A.",,1613,815,0,"50,000 .. 100,000",0,0,0,0,2199,2199,0,42
571340,Seeking Evil: The Wendigo,Copybugpaste,Copybugpaste,,35,30,0,"50,000 .. 100,000",94,0,94,0,499,499,0,0
556870,Charlie's Adventure,EGAMER,SA Industry,,221,144,0,"50,000 .. 100,000",230,0,273,0,109,1099,90,0
487430,KARAKARA,calme,Sekai Project,,1642,165,0,"50,000 .. 100,000",1354,0,1354,0,999,999,0,2
333300,ADOM (Ancient Domains Of Mystery),"Thomas Biskup, Jochen Terstiege, Zeno Rogue, Krzysztof Dycha, Lucas Dieguez",Assemble Entertainment,,1201,209,0,"50,000 .. 100,000",246,0,455,0,749,1499,50,33
1251300,Last Floor,AK Studio,AK Studio,,210,84,0,"50,000 .. 100,000",0,0,0,0,399,999,60,0
1384770,Scrutinized,Reflect Studios,Reflect Studios,,894,109,0,"50,000 .. 100,000",53,0,53,0,999,999,0,8
2303300,Real Zombie War Simulator,"Yusuf Islam Seyhan, Samet Acar",Inspector Studios,,1,3,0,"50,000 .. 100,000",0,0,0,0,59,99,40,0
