name,release_date,rating,rating_top,metacritic,playtime,genres
Disney's Tarzan: Return to the Jungle,2002-01-01,0.0,0,68.0,0,"Platformer, Action"
Dark Fall: The Journal,2002-06-18,2.62,4,68.0,1,Adventure
Grandia Xtreme,2002-01-31,0.0,0,68.0,0,"Adventure, Action, RPG"
Treasure Planet,2002-10-31,0.0,0,68.0,0,"Platformer, Adventure"
Shadow Man: 2econd Coming,2002-03-02,0.0,0,68.0,0,Action
Army Men RTS,2002-03-27,3.72,4,67.0,1,"Strategy, Action"
Legaia 2: Duel Saga,2002-10-01,0.0,0,67.0,0,RPG
Dragon Ball Z: Budokai,2002-11-02,3.78,4,67.0,0,Fighting
ZooCube,2002-05-05,0.0,0,67.0,0,Puzzle
Mystic Heroes,2002-03-29,0.0,0,67.0,0,"Action, RPG"
Tomb Raider: The Prophecy,2002-11-12,0.0,4,66.0,0,"Adventure, Puzzle"
Mad Maestro!,2002-03-12,0.0,0,65.0,0,"Action, Simulation, Puzzle"
Gungrave,2002-07-18,4.29,5,65.0,0,
Star Wars Bounty Hunter,2002-11-19,3.47,4,65.0,0,"Shooter, Action"
BloodRayne,2002-10-15,3.9,4,65.0,4,"Shooter, Action"
RC Cars,2002-11-14,3.18,4,65.0,1,"Casual, Racing"
Red Faction II,2002-10-14,3.47,4,64.0,1,"Shooter, Strategy, Action"
Pro Rally 2002,2002-03-28,0.0,0,64.0,0,Racing
Superman: Shadow of Apokolips,2002-09-25,0.0,0,64.0,0,"Platformer, Action"
Barbarian (2002),2002-06-27,0.0,0,63.0,0,"RPG, Fighting"
Evolution Worlds,2002-07-26,0.0,0,63.0,0,RPG
Tom and Jerry in War of the Whiskers,2002-10-22,0.0,0,63.0,0,"Action, Fighting"
Altered Beast: Guardian of the Realms,2002-11-25,0.0,0,63.0,0,
Gun Metal,2002-06-30,2.53,1,63.0,4,Action
Rayman Rush,2002-03-08,0.0,0,62.0,0,Sports
Stuart Little 2 (PS1),2002-07-17,3.78,4,62.0,0,"Family, Platformer, Adventure"
Taz: Wanted,2002-09-17,4.0,4,62.0,0,Arcade
Sherlock Holmes: The Mystery of the Mummy,2002-12-01,3.12,4,61.0,1,Adventure
Robotech: The Macross Saga,2002-10-27,0.0,0,61.0,0,"Shooter, Action"
Cossacks: Back to War,2002-10-18,4.29,5,60.0,2,Strategy
Lilo & Stitch: Stitch 626,2002-06-19,0.0,0,59.0,0,"Adventure, Action"
Disney's Peter Pan: Return to Never Land,2002-02-14,0.0,0,59.0,0,"Family, Action"
The Lord of the Rings: The Fellowship of the Ring,2002-09-25,3.51,3,59.0,0,"Adventure, Action"
RLH: Run Like Hell,2002-09-27,0.0,0,58.0,0,"Shooter, Action"
The Terminator: Dawn of Fate,2002-09-01,0.0,0,58.0,0,"Shooter, Action"
Duke Nukem: Manhattan Project,2002-05-21,3.62,4,58.0,1,"Shooter, Adventure, Action"
EOE: Eve of Extinction,2002-02-26,0.0,0,57.0,0,Action
Aliens Versus Predator 2: Primal Hunt,2002-08-29,3.61,4,55.0,0,"Shooter, Action"
Might and Magic 9,2002-03-27,3.24,3,55.0,1,RPG
Hot Wheels: Velocity X,2002-10-16,0.0,0,54.0,0,"Racing, Arcade"
Die Hard: Vendetta,2002-11-15,0.0,0,54.0,0,"Shooter, Action"
Dragon Ball Z: The Legacy of Goku,2002-05-14,2.86,4,53.0,0,"Action, RPG"
Delta Force: Task Force Dagger,2002-06-26,3.11,4,51.0,1,Action
Minority Report: Everybody Runs,2002-11-12,0.0,5,50.0,0,"Shooter, Action"
Dino Stalker,2002-06-27,0.0,0,50.0,0,Shooter
Men in Black II: Alien Escape,2002-06-27,0.0,0,50.0,0,"Shooter, Action"
Castleween,2002-11-29,0.0,0,50.0,0,Action
Digimon World 3,2002-06-05,3.96,4,47.0,0,"Strategy, RPG"
The Scorpion King: Rise of the Akkadian,2002-09-11,0.0,0,47.0,0,Action
Ice Age,2002-04-19,0.0,0,47.0,0,"Platformer, Action"
Salt Lake 2002,2002-01-18,0.0,0,46.0,0,Sports
The Mummy (GBA/GBC),2002-11-20,0.0,0,46.0,0,"Adventure, Action"
Superman: The Man of Steel (2002),2002-11-19,0.0,0,44.0,0,"Adventure, Action"
Disney's Treasure Planet,2002-11-22,3.43,3,44.0,0,"Platformer, Action"
Space Raiders,2002-12-19,0.0,0,40.0,0,Shooter
Bruce Lee: Quest of the Dragon,2002-07-09,0.0,0,32.0,0,Action
Ring 2: Twilight of the Gods,2002-10-01,0.0,0,31.0,0,"Arcade, Adventure"
Shrek: Swamp Kart Speedway,2002-03-19,0.0,0,27.0,0,Racing
Warring Worms,2002-01-01,0.0,0,,0,Action
Dinotopia: The Timestone Pirates,2002-04-30,0.0,0,,0,Action
Konami Collector's Series: Arcade Advanced,2002-03-21,0.0,0,,0,
Sakura Momoko no Ukiuki Carnival,2002-07-05,0.0,0,,0,Adventure
Urban Yeti!,2002-08-16,0.0,0,,0,Action
Cubix Robots for Everyone: Showdown,2002-08-02,0.0,0,,0,RPG
Mutsu to Nohohon,2002-07-19,0.0,0,,0,Action
Pool Edge,2002-10-25,0.0,0,,0,Sports
Godai: Elemental Force,2002-01-21,0.0,0,,0,Action
Ever 17: The Out of Infinity,2002-08-29,0.0,0,,0,
Road Trip: The Arcade Edition,2002-12-19,0.0,0,,0,Racing
Disney Sports Skateboarding,2002-07-25,0.0,0,,0,Sports
Poinie's Poin,2002-09-26,0.0,0,,0,"Platformer, Action"
Ninja Assault,2002-01-01,0.0,0,,0,Arcade
Dual Blades,2002-10-07,0.0,0,,0,Fighting
PoPoLoCrois: Hajimari no Bouken,2002-06-20,0.0,0,,0,RPG
Fire Blade,2002-06-16,0.0,0,,0,
Dragon Throne: The Battle of Red Cliffs,2002-04-01,0.0,0,,0,Strategy
World War 3: The Fight Against Terrorism,2002-12-01,0.0,0,,0,"Shooter, Action"
Far West,2002-11-01,0.0,0,,0,Strategy
Pet Soccer,2002-06-01,0.0,0,,0,"Arcade, Sports"
Mega Pinball,2002-02-01,0.0,0,,0,Arcade
ESPN NFL Primetime 2002,2002-04-01,0.0,0,,0,Sports
High Heat Major League Baseball 2003,2002-02-09,0.0,0,,0,Sports
Muscle Car 2: American Spirit,2002-08-01,0.0,0,,0,"Racing, Arcade"
Ball Swapper,2002-08-28,0.0,0,,0,
Sky Sports Football Quiz - Season 02,2002-07-01,0.0,0,,0,Puzzle
Airline Tycoon Evolution,2002-08-01,0.0,0,,0,Strategy
Backyard Baseball 2003,2002-06-30,0.0,0,,0,Sports
Sharp Shooter,2002-06-01,0.0,0,,0,Arcade
Ultimate Pinball,2002-09-01,0.0,0,,0,Arcade
Wahlschlacht 2002,2002-09-01,0.0,0,,0,Arcade
Football Mogul 2003,2002-09-20,0.0,0,,0,"Strategy, Sports"
World's Greatest Coasters 3D,2002-11-01,0.0,0,,0,
Legends of Wrestling II,2002-11-25,0.0,0,,0,Fighting
Devastator,2002-01-01,0.0,0,,0,"Casual, Arcade, Action"
Kaboom! The Suicide Bombing Game,2002-04-01,0.0,0,,0,Arcade
Yukibana -Kira-,2002-04-15,0.0,0,,0,Adventure
Thor's Trivial,2002-01-01,0.0,0,,0,Board Games
Demon Front,2002-01-01,0.0,0,,0,Arcade
Hyper Rails: Advanced 3D Roller Coaster Design,2002-12-01,0.0,0,,0,Simulation
Kaze no Uta,2002-08-23,0.0,0,,0,
Lunar Legend,2002-04-12,0.0,0,,0,RPG
NHL 2K3,2002-11-10,0.0,0,,0,Sports
NBA Jam 2002,2002-02-17,0.0,0,,0,Sports
UFC: Tapout,2002-11-10,0.0,0,,0,Action
NBA Inside Drive 2002,2002-09-08,0.0,0,,0,Action
Smashing Drive,2002-02-18,0.0,0,,0,Racing
Deathrow,2002-10-22,0.0,0,,0,Sports
Shin Megami Tensei: NINE,2002-12-05,0.0,0,,0,"Action, RPG"
Donald Duck: Phantomias - Platyrhyncos Kineticus,2002-10-04,0.0,0,,0,"Casual, Platformer"
JoJo no Kimyou na Bouken: Ougon no Kaze,2002-07-25,0.0,0,,0,"Adventure, Action, Fighting"
Justice League: Injustice for All,2002-11-17,0.0,0,,0,Action
Bionicle: Matoran Adventures,2002-11-01,0.0,0,,0,
3D PacManiac,2002-01-01,0.0,0,,0,Arcade
Jeopardy! 2003,2002-09-01,0.0,0,,0,
One Piece: Grand Battle Swan Colosseum,2002-07-12,0.0,0,,0,Fighting
Zoo Tycoon: Dinosaur Digs,2002-06-01,4.0,4,,0,Strategy
Scooby-Doo! Case File #1: The Glowing Bug Man,2002-11-01,4.17,4,,0,"Educational, Puzzle"
Hot Wheels: Velocity X (GBA),2002-10-16,0.0,0,,0,"Racing, Shooter"
Aero Elite: Combat Academy,2002-07-11,0.0,0,,0,Simulation
AirBlade,2002-02-20,0.0,0,,0,"Action, Sports"
Battle Realms: Winter of the Wolf,2002-10-01,3.71,4,,1,Strategy
Privateer's Bounty: Age of Sail 2,2002-08-02,0.0,0,,0,Strategy
Real Girls Strip Poker,2002-10-01,0.0,0,,0,Card
NHL 2003,2002-09-30,3.83,4,,0,Sports
X-Men: Next Dimension,2002-10-15,0.0,4,,0,Fighting
Pirates: The Legend of Black Kat,2002-02-17,0.0,0,,0,"Adventure, Action"
Arc the Lad Collection,2002-04-18,0.0,0,,0,
Stuart Little 2,2002-07-01,0.0,0,,0,Arcade
OGame,2002-11-22,3.33,4,,0,"Strategy, Action"
Bikini Karate Babes,2002-11-01,0.0,0,,0,"Arcade, Fighting"
Kakuto Chojin: Back Alley Brutal,2002-11-11,0.0,0,,0,"Arcade, Fighting"
Yu-Gi-Oh! The Sacred Cards,2002-07-04,4.22,4,,5,RPG
Barbie as Rapunzel: A Creative Adventure,2002-11-15,4.33,5,,0,Puzzle
Deus Ex: The Conspiracy,2002-03-26,0.0,0,,0,Action
Yu-Gi-Oh! The Falsebound Kingdom,2002-12-05,0.0,0,,0,
Ty the Tasmanian Tiger (2002),2002-09-10,3.62,4,,0,Adventure
